x_mm,y_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
14.000000,8.000000,11.766347,0.182171,0.181563,0.283883,8.000000
15.000000,8.000000,11.743499,0.182158,0.181562,0.285889,8.000000
16.000000,8.000000,11.724974,0.182154,0.181564,0.285488,9.000000
17.000000,8.000000,11.714663,0.182153,0.181564,0.293519,9.000000
18.000000,8.000000,11.709016,0.182153,0.181564,0.281840,8.000000
19.000000,8.000000,11.710925,0.182153,0.181564,0.285064,8.000000
20.000000,8.000000,11.712992,0.182154,0.181564,0.286207,8.000000
21.000000,8.000000,11.716289,0.182157,0.181566,0.282893,8.000000
22.000000,8.000000,11.718857,0.182160,0.181568,0.286515,9.000000
23.000000,8.000000,11.721182,0.182162,0.181569,0.283416,8.000000
24.000000,8.000000,11.720215,0.182165,0.181571,0.287118,8.000000
25.000000,8.000000,11.720099,0.182169,0.181574,0.282791,9.000000
26.000000,8.000000,11.720118,0.182172,0.181576,0.281993,8.000000
27.000000,8.000000,11.724383,0.182172,0.181576,0.283541,8.000000
28.000000,8.000000,11.727999,0.182172,0.181575,0.285222,8.000000
29.000000,8.000000,11.735884,0.182174,0.181576,0.282190,8.000000
30.000000,8.000000,11.753200,0.182176,0.181575,0.290160,8.000000
31.000000,8.000000,11.777175,0.182183,0.181574,0.289108,8.000000
32.000000,8.000000,11.792745,0.182200,0.181574,0.283961,8.000000
33.000000,8.000000,11.801788,0.182195,0.181574,0.275408,8.000000
34.000000,8.000000,11.784744,0.081437,0.056909,0.077734,9.000000
35.000000,8.000000,11.786480,0.182189,0.181574,0.291500,9.000000
36.000000,8.000000,11.773415,0.182180,0.181571,0.286440,8.000000
37.000000,8.000000,11.761074,0.182171,0.181570,0.285790,8.000000
38.000000,8.000000,11.750379,0.182165,0.181568,0.288450,8.000000
39.000000,8.000000,11.736588,0.182160,0.181566,0.292911,8.000000
40.000000,8.000000,11.726931,0.182158,0.181566,0.290869,8.000000
0.000000,9.000000,11.771188,0.182194,0.181578,0.280018,8.000000
1.000000,9.000000,11.763074,0.182184,0.181577,0.279393,8.000000
2.000000,9.000000,11.753384,0.182181,0.181579,0.286601,9.000000
3.000000,9.000000,11.745364,0.182179,0.181578,0.287284,8.000000
4.000000,9.000000,11.741288,0.182176,0.181575,0.284937,8.000000
5.000000,9.000000,11.733175,0.182171,0.181573,0.278865,8.000000
6.000000,9.000000,11.726332,0.182167,0.181571,0.286581,8.000000
7.000000,9.000000,11.720338,0.182164,0.181570,0.284122,8.000000
8.000000,9.000000,11.719711,0.182161,0.181569,0.285527,8.000000
9.000000,9.000000,11.725094,0.182161,0.181568,0.282504,8.000000
10.000000,9.000000,11.737332,0.182160,0.181565,0.288051,8.000000
11.000000,9.000000,11.753071,0.182163,0.181560,0.285972,9.000000
12.000000,9.000000,11.772914,0.182172,0.181562,0.285049,8.000000
13.000000,9.000000,11.767139,0.081438,0.056910,0.075395,8.000000
14.000000,9.000000,11.754835,0.092552,0.074426,0.119593,8.000000
15.000000,9.000000,11.744996,0.182168,0.181564,0.280785,9.000000
16.000000,9.000000,11.726779,0.182155,0.181563,0.285136,8.000000
17.000000,9.000000,11.715379,0.182154,0.181564,0.280897,8.000000
18.000000,9.000000,11.709672,0.182154,0.181564,0.284138,8.000000
